"DU145_ctrl_1"	"DU145_ctrl_2"	"DU145_ctrl_3"	"DU145_ctrl_4"	"DU145_SOX11_1"	"DU145_SOX11_2"	"DU145_SOX11_3"	"DU145_SOX11_4"
"ENSG00000000003"	355	413	334	342	387	418	440	376
"ENSG00000000419"	771	839	708	654	734	812	740	672
"ENSG00000000457"	262	320	271	264	282	320	310	284
"ENSG00000000460"	385	460	332	300	401	384	360	309
"ENSG00000000971"	2	1	0	0	0	1	0	2
"ENSG00000001036"	1923	2250	1843	1833	1737	1792	1758	1708
"ENSG00000001084"	2301	2449	2146	2061	1868	2086	1934	1826
"ENSG00000001167"	1314	1528	1165	1102	1430	1423	1490	1346
"ENSG00000001460"	109	138	111	86	110	119	84	84
"ENSG00000001461"	399	438	366	388	359	313	357	308
"ENSG00000001497"	1145	1441	1071	1123	1180	1132	1254	1177
"ENSG00000001561"	567	684	474	506	578	655	581	554
"ENSG00000001617"	246	310	239	204	254	254	244	227
"ENSG00000001626"	0	0	0	0	1	0	0	0
"ENSG00000001629"	1742	2059	1606	1562	1629	1825	1666	1609
"ENSG00000001630"	110	113	89	82	120	72	114	74
"ENSG00000001631"	256	280	212	212	240	264	211	212
"ENSG00000002016"	221	214	191	140	189	188	177	187
"ENSG00000002079"	0	0	1	1	0	0	0	0
"ENSG00000002330"	412	619	400	452	490	459	528	391
"ENSG00000002549"	1510	1991	1536	1634	1546	1599	1672	1634
"ENSG00000002587"	11	13	8	9	9	4	6	9
"ENSG00000002726"	0	0	0	1	0	0	0	0
"ENSG00000002746"	276	351	250	263	252	266	288	237
"ENSG00000002822"	12	18	12	29	16	21	14	15
"ENSG00000002834"	6572	8452	6524	6797	6622	6702	7077	6659
"ENSG00000002919"	405	434	330	366	382	383	404	386
"ENSG00000003056"	1481	1776	1397	1358	1490	1554	1513	1442
"ENSG00000003096"	156	190	145	154	173	179	156	151
"ENSG00000003137"	391	450	325	356	350	359	358	346
"ENSG00000003147"	273	318	248	244	308	327	269	275
"ENSG00000003249"	1294	1615	1303	1272	1398	1321	1384	1238
"ENSG00000003393"	689	839	699	674	747	776	757	729
"ENSG00000003400"	90	111	87	73	70	90	64	70
"ENSG00000003402"	2892	3199	2717	2554	3415	3588	3376	3158
"ENSG00000003436"	1811	1684	1470	1376	1630	1866	1619	1489
"ENSG00000003509"	561	619	468	464	505	532	527	462
"ENSG00000003756"	1528	1681	1280	1307	1431	1458	1402	1367
"ENSG00000003987"	77	86	56	68	75	85	70	74
"ENSG00000003989"	97	107	80	80	92	79	82	70
"ENSG00000004059"	975	1213	959	1031	1179	1139	1132	1116
"ENSG00000004139"	53	51	48	51	92	66	79	53
"ENSG00000004142"	3105	3853	3091	3280	3194	3227	3304	3107
"ENSG00000004399"	317	344	304	289	338	347	363	304
"ENSG00000004455"	3598	4151	3216	3358	3440	3653	3674	3488
"ENSG00000004468"	24	25	41	39	51	62	38	43
"ENSG00000004478"	2505	3224	2473	2614	2804	2762	2733	2532
"ENSG00000004487"	1946	2438	1956	1924	2302	2294	2465	2358
"ENSG00000004534"	971	1166	891	732	1041	1052	1006	908
"ENSG00000004660"	91	123	85	100	104	82	119	83
"ENSG00000004700"	1361	1606	1280	1233	1237	1433	1314	1305
"ENSG00000004766"	647	662	548	506	542	567	540	549
"ENSG00000004776"	5	7	5	6	10	4	9	5
"ENSG00000004777"	381	472	349	382	449	394	453	411
"ENSG00000004779"	711	852	634	648	749	800	732	720
"ENSG00000004799"	30	36	13	21	49	42	40	32
"ENSG00000004838"	8	10	12	6	13	15	9	9
"ENSG00000004848"	0	1	0	0	0	1	0	0
"ENSG00000004864"	860	917	661	709	794	781	797	784
"ENSG00000004866"	413	412	327	336	418	387	384	395
"ENSG00000004897"	2958	3605	2857	2785	2780	3198	2908	2833
"ENSG00000004939"	1	0	0	0	0	0	0	0
"ENSG00000004948"	27	30	15	26	22	25	22	26
"ENSG00000004961"	506	556	462	446	418	452	466	469
"ENSG00000004975"	991	1215	980	863	1099	1066	1135	967
"ENSG00000005001"	23	40	12	27	44	39	44	31
"ENSG00000005007"	1969	2467	1905	1930	2197	2046	2213	2059
"ENSG00000005020"	1012	1041	842	729	859	1025	865	786
"ENSG00000005022"	4286	5249	4086	4183	3901	4092	4099	3922
"ENSG00000005059"	431	453	387	357	361	411	389	330
"ENSG00000005073"	104	125	89	102	91	91	111	115
"ENSG00000005075"	533	539	490	450	489	503	543	454
"ENSG00000005100"	1408	1819	1413	1518	1679	1671	1830	1716
"ENSG00000005102"	0	0	0	2	3	0	0	0
"ENSG00000005108"	3	0	0	2	2	1	2	0
"ENSG00000005156"	961	1186	927	894	1142	1128	1189	1077
"ENSG00000005175"	1056	1154	972	925	1005	1196	1068	1001
"ENSG00000005187"	25	26	17	16	35	45	24	21
"ENSG00000005189"	207	292	250	274	226	235	254	224
"ENSG00000005194"	1548	1987	1548	1577	1560	1660	1597	1585
"ENSG00000005206"	943	1136	888	946	1102	1086	1131	1024
"ENSG00000005238"	364	376	306	315	388	307	337	317
"ENSG00000005243"	70	78	40	48	44	45	43	40
"ENSG00000005249"	245	264	236	216	248	355	291	254
"ENSG00000005302"	206	251	188	197	267	222	223	227
"ENSG00000005339"	1804	2321	1803	1828	2022	1966	2039	1881
"ENSG00000005379"	0	0	0	0	6	1	0	0
"ENSG00000005421"	2	1	1	2	2	2	2	3
"ENSG00000005436"	488	599	478	491	508	548	590	558
"ENSG00000005448"	251	271	214	221	223	258	204	198
"ENSG00000005469"	268	251	222	231	246	256	208	230
"ENSG00000005471"	1	1	2	0	2	1	2	2
"ENSG00000005483"	1200	1219	1004	992	1169	1314	1134	1100
"ENSG00000005486"	777	970	743	737	949	839	861	849
"ENSG00000005513"	1	3	1	3	3	0	0	2
"ENSG00000005700"	1871	2043	1600	1592	1761	1934	1708	1594
"ENSG00000005801"	659	780	563	573	659	787	728	689
"ENSG00000005810"	1493	1799	1447	1441	1626	1679	1616	1501
"ENSG00000005812"	604	708	558	564	576	627	580	574
"ENSG00000005882"	250	285	248	213	274	289	304	255
"ENSG00000005884"	13427	15941	12262	12273	14301	13798	14140	12605
"ENSG00000005889"	477	580	460	437	486	521	522	472
"ENSG00000005893"	1517	1693	1410	1380	1452	1595	1504	1359
"ENSG00000005961"	90	88	78	92	97	76	98	86
"ENSG00000005981"	4	2	1	0	1	5	0	1
"ENSG00000006007"	1658	1824	1490	1507	1643	1930	1762	1666
